연번,이름,내용
82,지고기에 비지를 넣어 담백한 맛을 즐기세요.,"돼지고기는 우수한 단백질과 지방을 많이 함유하고 있으나 많이 섭취할 경우 각종 성인병을 유발하는 콜레스테롤수치가 높아지는 것을 염려해 섭취하는 것을 꺼리는 경우가 종종 있다.  이러한 문제를 해결할 수 있는 적절한 식품의 배합으로 콩을 들 수 있다.   콩을 불려 갈아 콩비지를 돼지고기와 함께 조리를 하게 되면  콩 속 지방성분 중 리놀렌산등이 혈관을 확장시켜 우리 몸에 이로운 콜레스테롤은 증가시키고 해로운 것은 몸 밖으로 배출시키는 역할을 해준다. 따라서 동물성지방의 과잉섭취에서 오는 결점을 보완해 주며 아울러 콩 속의 섬유질은 변비를 예방해 준다.  또한 콩은 ‘밭에서 나는 쇠고기’라고 불릴 정도로 단백질과 지방이 풍부하다. 특히 콩에는 비타민 B군이 많이 함유되어 있으며 비타민 A와 D, E도 들어 있다.   콩은  라이신, 아르지닌, 글루탐산이 풍부하며 뇌의 노화를 방지하고 뇌세포에 활력을 불어넣는 레시틴이라는 성분도 들어있다. 콩은 날 것으로 먹으면 소화가 잘 안되고 가공하여 된장이나 두부로 만들어 먹을 경우 영양소의 흡수율이 높아지는 특징이 있다.  예로부터 조상들은 콩을 원료로 하여 된장, 간장, 두부 등 여러 가지 전통식품을 만들어 먹음으로써 채식 위주의 식생활에서 결핍되기 위한 영양분들을 보충해 왔다."
83,서로 보완작용을 하는 메밀과 돼지고기,"메밀과 돼지고기는 맛과 영양면에서 보완작용을 하므로 서로 조화가 잘 되는 식품이다.  이를 잘 활용한 향토음식이 제주도 지방의 메밀총떡과 빙떡이다.   메밀총떡은 메밀가루와 돼지고기 그리고 통배추 김치를 잘 배합해 만든 음식이며 빙떡은 무채를 삶아서 참기름, 소금, 깨소금 등으로 양념해 소를 만들어 넣은 것을 말한다.  인체에 꼭 필요한 영양소인 필수아미노산은 인체가 합성할 수 없기 때문에 매일 음식을 통해 섭취해 줘야 하는데 필수아미노산중 라이신은 메밀보다 돼지고기에 더 많이 들어 있으며 페닐알라닌, 드레오닌, 트립토판, 발린 등은 메밀에 더 많아 이 두 가지 식품을 배합해 요리하면 아미노산 상승효과가 발휘되어 영양효율이 크게 향상된다.  무더운 여름철에 더위를 식히기 위해 메밀로 만든 국수나 냉면을 즐겨먹는데 메밀은 콜레스테롤 수치를 떨어뜨려는 효과가 있어 각종 성인병 치료에 도움이 될 뿐 아니라 몸에 열이 많아 머리에 부스럼이 계속 생기거나 피부에 종기가 생기는 경우에도 효과가 있다.  그러나 찬 음식을 먹으면 배가 아프거나 소화기능이 떨어져 설사를 자주하는 사람은 되도록 메밀의 섭취를 피하는 것이 좋다."
84,돼지고기는 표고버섯과 함께,"돼지고기는 단백질함량이 20.9%로 많으며 비타민 B1의 함량은 쇠고기에 비해 8배정도로 많다. 돼지기름을 구성하는 지방산은 쇠기름에 비해 스테아르산이 적고 올레산, 리놀레산 등 불포화지방산이 많이 포함되어 녹는 점이 낮으며 혀에 닿는 촉감이 좋다. 영양적인 우수성이 많지만 돼지고기 특유의 누린내가 나고 콜레스테롤함량이 높은 단점도 있다.   돼지고기를 요리할 때에는 누린내를 제거할 수 있는 다양한 향신료들이 많이 사용하는데 그 중 대표적인 것이 생강, 마늘, 고추 등이라고 할 수 있다. 중국요리에서는  돼지고기 요리에 표고버섯을 함께 사용하는 경우가 많다. 말린 표고버섯에는  섬유질이 많아  콜레스테롤 제거에 효과적이어 동맥경화, 심장병 등 각종 성인병을 예방할 수 있다. 뿐 만 아니라  표고버섯에는 혈압을 떨어뜨리는 에리타데닌이라는 성분이 들어있으며 항종양성 &#8228; 항암효과가 있는 것으로 알려졌다. 또 인플루엔자 바이러스에 활성화를 억제하는 성분과 구루병을 예방하는 에르고스테롤 성분도 함유하고 있다. 말린 표고버섯의 독특한 향은  렌티오닌(renthionine)에 의하며 핵산, 글루탐산 등 맛을 내는 성분이 풍부하게 함유되어 있어다."
85,기름진 중국요리는 차와 함께,"중국음식은 재료의 다양성과 지역적인 차이가 큰 특징이 있지만  대개 볶고 튀기거나 데쳐 만든 음식이 많다. 찜에도 식용유를 넣고, 무침에도 기름을 사용하는 등 하나같이 식용유를 많이 사용하는 조리법이다. 뿐만 아니라 전분소스의 이용도 많아 열량이 높다. 볶음밥, 자장면, 짬뽕과 같은 일품식에 탕수육이나 깐풍기 등 다른 요리를 곁들이면  그야말로 고열량식이 된다.          기름진 음식을 즐기는 중국인들이지만 이들에게 비만과 심장병 등 혈관질환은 상대적으로 적게 나타난다.  프랑스인의 혈관을 포도주가 지켜주듯이 중국인들이 즐겨 마시는 차가 혈관의 때인 콜레스테롤을 없애준다고 주장하는 학자도 있다. 중국인은 식탁에서 차를 음료수처럼 마신다. 발효시키지 않은 녹차&#65381;자스민차&#65381;전차&#65381;철관음차, 후발효차인 보이차 등 종류도 다양하다. 이 차들은 대부분 지방의 흡수를 억제하고 혈중 콜레스테롤 수치를 낮추는데 기여하는 것으로 알려져 있어 동맥경화, 심장병 예방에 효과적인 식품이라 할 수 있겠다.  "
86,고기 요리엔 적포도주를 한 잔씩,"백포도주는 생선 요리에 적포도주는 고기 요리에 어울린다는 것은 대부분 사람들이 잘 알고 있는 내용이다. 적포도주를 즐겨 마시는 프랑스 보르도 지방 사람들이 순환기계 질환이 적다는 것이 화제가 된 걸로 보아 적포도주의 효능에 대해서는 두말할 나위가 없을 것이다.  포도주는 포도 쥬스보다 살균효과가 뛰어나다. 알코올 발생과정에서 폴리페놀이라는 물질이 생성되는데 주로 포도의 껍질과 씨에서 많이 발생하므로 적포도주가 백포도주보다 살균 효과가 더 크다. 이 물질은 우리 몸에서 각종 세포를 파괴하고 노화를 촉진하는 활성산소의 작용을 억제해줄 뿐 아니라 항암작용이 있는 것으로 밝혀졌다.    식사와 함께 마시는 한잔의 적포도주는 뇌혈관의 노폐물을 제거, 뇌혈관을 튼튼하게 해 주어 동맥경화나 고혈압, 뇌혈관 질환을 예방해 줄 수 있는 훌륭한 건강보조식품이라고 할 수 있다.  기름기가 많은 고기요리를 먹으면서 적포도주를 한 두 잔 마시게 되면 고기를 먹을 때 느낄 수 있는 느끼함을 덜어주고, 소화를 촉진시켜주나 지나치게 많이 마시는 것은 바람직하지 못하다."
87,소주를 부드럽게 마시려면 오이를 채 썰어 넣으세요.,"소주란 곡류를 발효시켜 증류하거나 알코올을 물로 희석하여 만든 술을 말하는데 양조주를 증류하여 이슬처럼 받아내는 술로 한 번 내린 술을 소주 또는 노주, 홍로라 불렀고 두 번 내린 술을 환소주 또는 감홍로라 불렀다.  우리나라 사람들이 가장 즐겨 마시는 것이 소주인데 우리나라에 소주가 전래된 것은 페르시아에서 발달한 증류법이 고려시대에 원나라와 만주를 거쳐 우리나라에 들어왔다고 전해진다.   막걸리 같은 양조주는 알코올 도수가 낮아서 오래 두면 식초가 되거나 변질이 되어 부패하게 되는 결점이 있는데 이를 보완하기 위해 고안된 것이 증류주인 소주이다.   소주에는 증류식과 희석식이 있는데 증류식은 예전에 많이 사용되었으나 1960년대에 이르러 원료 대체 조치로 인해 희석식이 갑자기 발달하면서 지금은 거의 찾아볼 수 없다. 희석식은 연속식 증류기라는 정교한 기계로 증류한 것을 말하며 생성과정에서 불순물을 거의 다 제거하고 얻은 순수 알코올(95%)을 물을 이용하여 20∼35 %로 희석한 것을 말한다.  그러나 소주는 자극성이 강하고 맛이 독하므로 수분 함량이 높은 오이를 가늘게 채 썰어 소주 안에 넣으면 맛이 순해진다. 오이는 다른 영양 성분은 부족하나 칼륨의 함량이 높아 술을 마실 때 쉽게 배설되는 칼륨을 공급해줄 수 있으며 오이가 갖는 독특한 향 때문에 소주의 독한 향을 순하게 만들어 준다."
88,막걸리와 홍어가 만났을 때,"홍어는 예부터 임금님의 진상품에만 올려놓을 만큼 귀한 음식이며 특히 흑산도 홍어는 예나 지금이나 최고로 친다. 요즘은 국산은 물량이 달려 칠레, 중국, 미국 등지에서 수입한 것 들이 대부분이다.  홍어는 상어가 바다 밑바닥에 살 때 환경여건에 의해 변형된 가오리과에 속하는 물고기로 상어와 영양 성분이나 맛이 비슷한 특징이 있다. 특히 연골어류도 다른 어류보다 요소, 암모니아, 트리메틸아민 등을 많이 함유하고 있으며 관절염과 골다공증 예방에 효과가 있고 지방 함유량도 적어 다이어트 식품으로도 추천할만하다.  다른 생선과 달리 홍어는 알싸하게 코를 쏠 정도로 푹 삭혀서 먹어야 제 맛이 난다고 하여 예부터 짚이나 항아리에 넣고 삭혀서 먹었다. 홍어는 삭힐 때 나는 암모니아 냄새와 씹을 때 코를 찌르는 강한 맛 때문에 처음 먹는 사람은 역겨워하나 먹다보면 중독이 되어 먹어도 먹어도 물리지 않는 별미음식이 된다.  전라남도 지방에서는 홍탁이라 하여 삭힌 홍어찜과 막걸리를 함께 먹는다.  막걸리에 자극성분을 완충시키는 단백질과 홍어의 암모니아를 중화시키는 유기산이 함유되어 있어 서로 잘 어울리기 때문이다. "
89,장어와 복분자주는 대표적인 스테미너식,"요강을 뒤엎을 정도로 소변 힘이 세어진다는 유래와 이름을 가진 복분자주(覆盆子)는 산딸기의 일종인 고무딸기를 이용해 술을 빚은 것으로 스테미너식의 대표 격인 장어와 궁합이 잘 맞는다는 것은 너무나 잘 알려진 사실이다. 장어와 복분자주는 모두 따로 먹어도 부족함이 없지만 함께 먹으면 비타민 A의 작용이 더욱 활발해져 생식작용에 탁월한 효과가 있어 더욱 좋다.  장어는 지방21%, 단백질16%나 들어있고 비타민 A와 E가 풍부해 성장과 시력 증진, 체내 불포화 지방산의 산화 작용 억제, 세포를 젊게 해주어 피부노화 방지, 성인병 예방에 효과가 있다.  또한 복분자주는 피로회복과 양기를 일으키며 신장의 기능을 도와 정력을 좋게 할 뿐 아니라 조혈작용과 성인병 예방 효과도 뛰어나다.  장어는 따로 먹을 경우 다소 느끼한 맛이 있는데 복분자주와 함께 먹을 경우 새콤하고 씁쓸한 맛 때문에 느끼함이 줄어들어 먹기에 더욱 좋다."
90,맥주 안주로는 소시지를,"맥주의 어원은 마신다라는 의미의 라틴어 비베레(Bibere)에서 유래한 것으로 보리를 싹틔워 만든 맥아와 홉으로 다린 즙을 맥주효모균으로 발효시켜 만든 양조주로서 알코올 성분은 2~6% 정도로 적은편이나 이산화탄소와 홉의 쓴맛 성분을 함유하고 있어 소화를 촉진하고 이뇨작용을 돕는 효능이 있다.  맥주는 7천년의 역사를 가지고 있으며 미생물에 대한 저항력이 강해 와인과 함께 가장 안전한 음료로 여겨져 왔는데 고대 이집트인들은 맥주를 마시기도 했지만 벌레에 물리거나 위급한 병 등 온갖 병에 효험이 있는 만병통치약으로 사용했다.  최근에는 비열처리된 맥주가 인기가 많은데 그 이유는 비열처리 맥주가 저온 살균된 맥주보다 맥주 맛이 부드러울 뿐 아니라 저온에서 미세한 필터로 효소와 잡균을 완전히 제거해 신선함을 오랫동안 보존할 수 있기 때문이다. 맥주가 가장 좋은 맛을 낼 때의 온도는 여름에는 4~8℃, 봄·가을에는 6~10℃이다.   맥주 안주로는 짭짤하고 기름기가 있는 소시지나 햄, 치즈, 팝콘 등이 좋은데 특히 소시지는 단백질과 지방을 많이 가지고 있어 따로 먹으면 좀 느끼하지만 맥주와 함께 먹으면  맛의 조화가 잘 된다.  소시지는 주로 돼지고기, 쇠고기, 양고기 등을 곱게 갈아 소금과 질산에 절인 후 돼지 창자나 인공 케이싱에 채운 고기 가공품으로 살코기의 단백질과 비계의 지방이 골고루 섞여 있어 영양섭취에도 도움이 된다."
91,칵테일의 마지막을 체리로 장식하세요.," 위스키는 보통 옥수수, 대맥, 밀, 밀보리 등 곡류를 당화시켜 효모를 섞어서 발효&#8228;증류시켜 오크(떡갈나무) 통속에 채워서 숙성시킨 술로 영국, 미국 등지에서 발달하였다. 위스키는 각기 독특한 지리적 조건과 제조비법을 지닌 생산지에 따라 여러 가지 형태로 분류되는데 이 중 아일랜드의 아이리시(Irish) 위스키와 스코틀랜드의 스카치(Scotch) 위스키가 가장 유명하다.  위스키는 통 속에서 성숙되는 동안 독특한 색과 향기가 만들어내는데 저장 년 수는 최저가 3~4년, 개중에는 20년 이상 숙성한 고급품도 있다.  이러한 위스키를 바탕으로 여러 가지 칵테일을 만들어 먹는데 그 중 칵테일의 여왕으로 꼽히는 것이 맨하탄 칵테일이다. 맨하탄 칵테일은 위스키와 이태리안 버무드, 앙고스튤라 비터를 섞은 후 체리를 넣어 장식하는데 이 때 사용하는 체리는 식용색소로 빨갛게 물들인 것을 저장해서 사용한다."
92,보드카를 순하게 마시려면 오렌지주스와 함께,"보드카는 ‘시베리아를 녹이는 술’이라 불릴 만큼 러시아 사람들 누구나 즐기는 대표적인 국민주이다. 보드카라는 말은 러시아의 물(Voda Boa)이라는 단어에서 유래되었으며 옥수수 호밀 보리 감자 등을 원료로 만들며 증류하는 과정에서 자작나무로 만든 숲에 통과시켜 냄새를 제거한 술이다. 보드카는 자작나무 활성탄으로 여과를 하기 때문에 색이 없고 냄새가 없어 칵테일의 베이스로 사용되지만 추운 지방 사람들은 스트레이트로 마시기도 한다.  보드카는 독한 술로 알려져 있지만 오늘날에는 연속 증류기를 이용해 만든 95%의 알코올을 물로 희석, 농도를 50%정도로 조절한 다음 제품화하고 있다.  가정에서 보드카를 부드럽게 마시고 싶을 때는 오렌지주스를 넣어 마시면 맛과 향이 없는 보드카와 잘 어울려 쉽게 마실 수 있다. 그러나 마실 때는 순하지만 금방 취기가 올라오므로 주의해서 마셔야 한다.   보드카의 제조 기술이 미국에도 전해져 지금은 보드카 생산이 러시아를 능가하고 있으며 다양한 칵테일 원료로 애용되고 있다."
93,소나무 새순으로 담그는 송순주,"소나무는 세계 도처에 100여 종의 품종이 있으나 우리나라에는 주로 적송과 육송이 대부분이다. 소나무는 우리나라 생활과 가장 친근한 나무로 이를 이용하여 송엽주, 송영주, 송순주, 송화주 등 술을 담아왔다.   그 중 송순주는 4~5월경 소나무 앞가지에서 돋아난 소나무 새순으로 빚는 술로서 원래는 치료를 목적으로 빚었던 것으로 알려져 있다. 송순주는 향이 독특할 뿐 아니라 숙취의 고통도 없고 여러 가지 질병에도 효능이 있어 불로장생주라 부르기도 한다.  특히 송순주는 고혈압을 예방하고 동맥경화증이나 심장병에 효과적인 것으로 잘 알려져 있다. 특히 담배의 유해물질인 니코틴을 체외로 배출시키는 작용이 있어 흡연자들에게는 아주 유용한 술이며 피를 맑게 하고 혈관을 튼튼하게 할 뿐 아니라 근육통, 관절통, 신경통에 도 약효가 있다고 한다."
94,술로 담아 먹으면 더 큰 효능을 보는 더덕,"더덕은 예부터 산삼에 버금가는 뛰어난 약효가 있다하여 사삼(沙蔘), 백삼이라고 불렀으며 좋은 토양과 알맞은 기후조건하에서 자란 것이라야 향도 진하고 약성도 뛰어나다. 야생 산더덕이 최고이나 요즘은 밭에서 재배해 2~3년이 되면 출하되어 나오는데 좋은 더덕을 고르려면 우선 향이 좋은 것을 고르면 된다.  더덕의 주성분은 사포닌으로 인삼과 동일하며 식용과 약용으로 널리 애용되어 왔다. 특히 조혈작용, 항피로 작용, 혈압하강에 효과가 있으며 해열과 해독 작용이 뛰어나고 건위제 및 자양강장식품으로 유명하다. 또 필수지방인 리놀레익산, 칼슘, 인, 철분 등을 많이 함유하고 있어 뼈와 혈액을 건강하게 유지하는데 특효가 있다.   더덕은 술로 담아 먹으면 독특한 향으로 인해 술맛이 좋으며 술의 주성분인 알코올이 더덕 속에 들어있는 사포닌 등을 쉽게 나오게 만들어 더덕의 약효를 빨리 볼 수 있다.  더덕주를 담글 때는 더덕을 적당한 크기로 잘라 더덕 양의 3배가 되게 소주를 붓고 잘 밀봉하여 서늘한 곳에서 숙성시키면 된다. 담은 후 3개월 뒤에 숙성된 술을 헝겊으로 걸러 술병에 담으면 된다."
95,장어 먹고 복숭아는 NO.,"장어는 지방 21%, 단백질 16%, 비타민 A가 4700Ⅰ.U,로 다량 함유되어 있다. 특히 장어의 지방성분은 다불포화지방산으로  혈전생성을 억제하고 심혈관질환의 효과가 있는 것으로  알려져 있다. 이처럼 장어는  고단백, 고지방식품으로 평소 지방섭취가 적은 사람의 경우에는 소화가 더디게 된다. 여기에 후식으로  신맛을 내는 구연산, 사과산 등이 들어 있는 복숭아를 먹을 경우 유기산의 작용으로  지방의 소화를 방해함으로써 설사를 일으키기 쉽다. "
96,당근 &#8228; 오이와 무,"무생채나 물김치를 담글 때 오이를 곁들이는 경우 비타민C의 파괴가 많다. 비타민C는 구조적인 특징으로 쉽게 산화하여 조리가공 중 파괴율이 아주 높은 편이다. 오이에는  비타민 C를 산화시키는 효소 아스코르빅산 산화효소(ascorbic acid oxidase)가 존재하며 그 활성이 강하므로 비타민 C가 풍부한 다른 생채소와 섞을 때 썰어서 같이 두게 되면 비타민 C가 파괴된다. 비타민 C 산화 효소를 가진 채소류로 오이 외에 당근, 호박, 가지 등이 있다. 따라서 무채를 만들 때 당근을 그냥 넣은 경우도 비타민 C의 파괴를 가져온다. "
97,토마토엔  설탕 보다 차라리 소금,"토마토는 붉은 색소 성분인 리코펜의 항산화작용으로 암예방효과가 탁월하고 심혈관 질환 예방 효과가 밝혀져 주목을 받고 있는 건강식품이다. 철분과 비타민 C, A, B1 등의 영양소가 풍부하다. 가끔 토마토가 단맛이 없어 설탕을 넣어서 먹은 경우가 많이 있다. 토마토에 들어있는 비타민B1은 우리 몸의 당질대사에 꼭 필요한 조효소로 작용한다.  그런데 토마토에 설탕을 넣어 먹으면  비타민 B1이 설탕대사에 사용되므로 비타민 B1의 손실이 따르게 된다. 따라서 토마토를 먹을 때는 그대로 먹는 것이 좋다. 하지만 토마토의 밋밋한 맛과 냄새 때문에 먹기가 어려우면 소금을 조금 넣어 먹는 방법도 있다. 토마토에는 칼륨 함량이 많은데 소금을 곁들이면 오히려 균형을 이룰 수 있어 좋다."
98,미역국에 파는 안돼요," 미역은 다시마, 모자반과 함께 갈조류에 속하며 미역은 성질이 차고 맛이 짜다. 우리의 음식에서 무침, 볶음, 쌈, 자반, 지짐, 냉국 등이 있지만 미역은 주로 국을 끓여 먹었다. 미역의 성분은 수분 10%, 단백질 24.5%, 지질 0.4%, 탄수화물 31%, 그 외 섬유질, 회분, 칼슘, 인, 철, 나트륨, 칼륨, 나이아신, 비타민류 등이 포함되어 있다. 특히 칼슘 함량이 높다. 우리 선조들은 출산 후 미역국을 끓여 먹였는데 이는 조상의 지혜를 엿볼 수 있다. 미역국은 열량은 낮으나 정장효과가 뛰어나 출산 후 생기는 산모의 변비를 예방해주고 칼슘은 임신과 출산으로 약해진 골격과 치아 형성에 도움을 준다. 특히 산후의 자궁수축과 지혈작용에 칼슘은 꼭 필요한 무기질이다. 또한 미역에는 요오드의 함량이 많아 산후 신진대사가 활발한 임산부에게 요오드를 충분히 보충시켜 갑상선 호르몬의 생성을 돕는다. 우리 국에는 빠지지 않는 양념이 파, 마늘 종류인데 보통 미역국에는 파를 넣지 않는다. 미역국에 파를 넣으면 미역과 파가 가지는 미끈한 성분(알긴산)의 점질물 때문에 국의 고유한 맛을 느끼지 못하게 된다. 또한 파에는 인과 유황 성분이 많아 미역국에 넣으면 미역 안에 많은 칼슘의 흡수를 방해 한다. 따라서 미역국에 파를 섞으면 맛도 어울리지 않을 뿐 아니라 영양효율성 면에도 맞지 않다."
99,팥과 식소다,팥은 대두와는 달리 함유된 탄수화물의 35%가량이 전분이며 지방함량은 낮고 단백질도 대두에 비해 적은 편이나 식물성 식품으로 볼 때에는 많은 편이다.  높은 전분함량으로 가종 떡의 고물과 소 등으로 많이 이용된다. 팥에는 배당체인 사포닌이 함유되어 있어 변통을 도와주며 다른 두류에 비해 비타민 B1의 함량이 100g중 0.56mg으로 높아 각기병에 효과적이다. 그런데 팥은 껍질이 두꺼워 물에 불려도 수분침투가 어려우므로 대게 타서 침수시켜 불린 후 거피하여 사용한다. 팥을 쉽게 삶기 위해 알칼리성인  식소다를 넣기도 하나 이는 팥에 들어 있는 B1의 손실을 가져온다.
100,시금치와 근대,"시금치는 가을에서 봄까지 재배되며 겨울에 신선한 채소로 공급될 수 있으므로 우리 식생활에서 중요한 위치를 차지하고 있다. 시금치는 특히 비타민 A와 C 및 무기질이  풍부한 식품이다. 또한 수용성 유기산으로 구연산(citric acid), 능금산(malic acid),  수산(oxalic acid)이 존재하는데 수산은 주로 칼슘과 결합하여 불용해성인 수산 칼슘을 형성하므로 칼슘의 흡수 이용율이 좋지 않다. 그런데 시금치와 함께 수산의 함량이 많은 채소가 근대이다. 따라서 시금치와 근대를 함께 먹는 것은 칼슘의 이용율 저하를 가져올 수 있으므로 같이 먹지 않는 것이 좋다."
101,햄버거 먹을 때 콜라 마시지 말아요,"햄버거는 빵과 빵 사이에 다진 고기와 토마토, 양상치 등을 곁들여 만든다. 아이들 뿐 아니라 바쁜 생활 속에 제대로 끼니를 못 챙기는 사람들에게 간단한 한 끼의 식사로 사랑을 받아왔다. 우리는 흔히 양손에 햄버거와 콜라를 들고 움직이며 식사를 하는 관경을 본 적이 있을 것이다. 콜라는 햄버거, 피자 등 패스트푸드에 빠지지 않은 음료로 등장한다. 콜라에 들어있는 코카인 성분은 카페인이다. 카페인은 신경흥분, 심장기능 자극, 콩팥기능을 자극해 일시적으로 피로회복, 이뇨작용 등 효과가 있으나 지나치게 많이 먹는 경우 오히려 건강에 해가 된다. 콜라 안에는 짜릿한 맛을 위해 탄산가스와 무기인산을 첨가한다. 이 성분 때문에 시원한 가스발생과 함께 청량감을 느낄 수 있다. 하지만 이러한 성분들은 인체 내에서 칼슘 성분과 쉽게 결합하는 성질이 있어 칼슘의 흡수를 저해하게 된다. 따라서 햄버거를 먹을 때 콜라를 마시는 것보다 칼슘을 보강할 수 있는 우유나 칼슘의 흡수를 좋게 하는 오렌지 쥬스 등과 먹는 것이 좋다."
102,맥주 마실 때  땅콩은 조심조심, 맥주의 안주로 흔히 먹는 땅콩의 지방함량은 콩의 3배(45%) 정도로 많다. 조성지방산은 올레산과 리놀레산이 80%를 이루고 있으며 이들 지방산이 혈중콜레스테롤을 저하시키는 작용이 있다. 그런데 이들 불포화지방산은  공기에 접촉시 쉽게 산화되어 우리 몸에 유해한 과산화지질을 형성하게 된다. 껍질이 제거된 체로 유통이 되는 땅콩은  지방이 산패될 위험이 높아 위생상 문제가 있을 수 있으므로 주의를 해야 한다. 또한 땅콩은 보관조건이 나쁘면 검정 곰팡이인 아스퍼르질러스 플라버스(Aspergillus flavus)에 의해 생성되는 강력한 발암물질인 아플라톡신(aflatoxin)이 만들어진다.  
103,콘플레이크와 우유의 궁합,"<link href=/css/editbasic.css rel=stylesheet type=text/css><FONT size=2><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify"">하루를 시작하는 균형 잡힌 아침 식사는 건강 유지를 위해 아주 중요하다. 영어로는 ‘break fast. 글자 그대로 공복을 깨뜨린다는 뜻으로 10여 시간이 넘는 긴 밤의 공복을 깨뜨리며 새로운 하루의 에너지를 공급하므로 그 중요성이 크다고 볼 수 있다. </SPAN><P style=""FONT-SIZE: 10pt; MARGIN: 0pt; COLOR: #000000; TEXT-INDENT: 0pt; LINE-HEIGHT: 120%; FONT-FAMILY: 굴림; TEXT-ALIGN: justify""><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify"">그러나 많은 사람이 바쁜 일과에 쫓겨 제대로 아침 식사를 하지 못하는 실정이다. 바쁜 아침에 필요한 영양소를 공급하기에 가장 간단한 방법 중의 하나가 콘플레이크에 우유를 부어 먹는 것으로 영양적으로도 아주 바람직한 방법이다. </SPAN><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify""></SPAN></P><P style=""FONT-SIZE: 10pt; MARGIN: 0pt; COLOR: #000000; TEXT-INDENT: 0pt; LINE-HEIGHT: 120%; FONT-FAMILY: 굴림; TEXT-ALIGN: justify""><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify"">콘플레이크는 옥수수를 증기 압착시켜 만드는데 옥수수의 주성분은 당질로 대부분이 녹말이며 포도당이 조금 들어있다. 단백질은 옥수수 알갱이의 겉껍질 부분에 있는 각질층에 많고 속에는 적다. </SPAN><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify""></SPAN></P><P style=""FONT-SIZE: 10pt; MARGIN: 0pt; COLOR: #000000; TEXT-INDENT: 0pt; LINE-HEIGHT: 120%; FONT-FAMILY: 굴림; TEXT-ALIGN: justify""><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify"">씨눈에는 질이 좋은 불포화지방산이 많고 토코페롤이라는 비타민E가 풍부해 성인병 예방과 노화 방지에 효과가 매우 크다. 또 지방이 25~27%가량 들어 있으며 신경 조직에 필요한 레시틴이 1.5%, 비타민E가 0.2mg이나 들어있다. 그러나 옥수수는 단백질을 구성하고 있는 아미노산의 질이 많이 떨어진다. 즉 트레오닌이나 페닐알라닌, 유황 함유 아미노산인 메치오닌과 시스틴 등은 풍부하나 필수 아미노산인 트립토판과 라이신이 거의 안 들어 있다. </SPAN><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify""></SPAN></P><P style=""FONT-SIZE: 10pt; MARGIN: 0pt; COLOR: #000000; TEXT-INDENT: 0pt; LINE-HEIGHT: 120%; FONT-FAMILY: 굴림; TEXT-ALIGN: justify""><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify"">옥수수의 결점을 보완할 수 있는 가장 우수한 식품이 우유다. 우유에는 사람이 매일 먹어야 건강을 유지할 수 있는 여덟 가지 필수아미노산이 골고루 들어 있다. 비타민A와 비타민B를 비롯하여 비타민B군(B1, B2, B6, 판토텐산, 나이아신 등)도 고르게 들어있다. 그래서 옥수수나 옥수수 가공품을 먹을 때 우유를 곁들이는 것은 영양 균형을 자연스럽게 잡아 주는 일이 된다. </SPAN></P><P style=""FONT-SIZE: 10pt; MARGIN: 0pt; COLOR: #000000; TEXT-INDENT: 0pt; LINE-HEIGHT: 120%; FONT-FAMILY: 굴림; TEXT-ALIGN: justify""><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify""></SPAN>&nbsp;</P><P style=""FONT-SIZE: 10pt; MARGIN: 0pt; COLOR: #000000; TEXT-INDENT: 0pt; LINE-HEIGHT: 120%; FONT-FAMILY: 굴림; TEXT-ALIGN: justify""><SPAN style=""FONT-SIZE: 10pt; COLOR: #000000; LINE-HEIGHT: 12pt; FONT-FAMILY: 굴림; LETTER-SPACING: 0pt; TEXT-ALIGN: justify"">출처/숙명여자대학교 한국음식연구원</SPAN></P></FONT>"
